,iso_code,country,year,Energy Type,Energy Consumption (TwH)
779,OWID_WRL,World,1974,energy_per_capita,16592.805
724,OWID_WRL,World,1974,energy_per_gdp,2.488
119,OWID_WRL,World,1974,fossil_fuel_consumption,61610.765
174,OWID_WRL,World,1974,gas_consumption,11656.257
229,OWID_WRL,World,1974,hydro_consumption,3975.739
284,OWID_WRL,World,1974,low_carbon_consumption,4810.626
339,OWID_WRL,World,1974,nuclear_consumption,740.556
394,OWID_WRL,World,1974,oil_consumption,32272.443
449,OWID_WRL,World,1974,other_renewable_consumption,94.33
669,OWID_WRL,World,1974,primary_energy_consumption,66434.173
504,OWID_WRL,World,1974,renewables_consumption,4070.069
559,OWID_WRL,World,1974,solar_consumption,0.0
614,OWID_WRL,World,1974,wind_consumption,0.0
10,OWID_WRL,World,1975,biofuel_consumption,0.0
65,OWID_WRL,World,1975,coal_consumption,18024.552
780,OWID_WRL,World,1975,energy_per_capita,16373.159
725,OWID_WRL,World,1975,energy_per_gdp,2.447
120,OWID_WRL,World,1975,fossil_fuel_consumption,61634.069
175,OWID_WRL,World,1975,gas_consumption,11661.084
230,OWID_WRL,World,1975,hydro_consumption,4024.697
285,OWID_WRL,World,1975,low_carbon_consumption,5147.842
340,OWID_WRL,World,1975,nuclear_consumption,1027.357
395,OWID_WRL,World,1975,oil_consumption,31948.433
450,OWID_WRL,World,1975,other_renewable_consumption,95.788
670,OWID_WRL,World,1975,primary_energy_consumption,66793.977
505,OWID_WRL,World,1975,renewables_consumption,4120.485
560,OWID_WRL,World,1975,solar_consumption,0.0
615,OWID_WRL,World,1975,wind_consumption,0.0
11,OWID_WRL,World,1976,biofuel_consumption,0.0
66,OWID_WRL,World,1976,coal_consumption,18688.5
781,OWID_WRL,World,1976,energy_per_capita,16945.56
726,OWID_WRL,World,1976,energy_per_gdp,2.462
121,OWID_WRL,World,1976,fossil_fuel_consumption,65073.273
176,OWID_WRL,World,1976,gas_consumption,12355.072
231,OWID_WRL,World,1976,hydro_consumption,4008.711
286,OWID_WRL,World,1976,low_carbon_consumption,5317.413
341,OWID_WRL,World,1976,nuclear_consumption,1201.866
396,OWID_WRL,World,1976,oil_consumption,34029.701
